Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,12,True,73064.08829714556,0.04078947368421053
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,13,True,70377.30015361255,0.05710526315789475
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,14,True,69603.94369405654,0.024736842105263165
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,15,True,76324.636744673,0.023421052631578957
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,16,True,67552.68156416502,0.037105263157894745
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,17,True,67344.06051660843,0.026052631578947372
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,18,True,66633.43611347987,0.02763157894736843
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,19,True,66633.43611347987,0.026842105263157903
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,20,True,67446.94964791511,0.025789473684210532
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,21,True,70377.30015361255,0.01815789473684211
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,22,True,66633.43611347987,0.04447368421052632
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,23,True,70936.68388745279,0.012631578947368424
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,24,True,67344.06051660843,0.053684210526315806
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,25,True,66633.43611347987,0.026578947368421053
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,26,True,66633.43611347987,0.05421052631578949
