Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,7,False,70936.68388745279,0.02526315789473685
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,8,False,67552.68156416502,0.012894736842105266
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,9,False,66633.43611347987,0.010263157894736846
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,10,False,66836.85134468594,0.003157894736842105
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,11,False,71381.55094407804,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,12,False,66633.43611347987,0.007105263157894739
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,13,False,67108.77160171073,0.010263157894736846
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,14,False,66633.43611347987,0.009473684210526318
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,15,False,69731.26527375371,0.016578947368421058
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,16,False,66633.43611347987,0.018684210526315793
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,17,False,73143.9984453601,0.007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,18,False,67552.68156416502,0.005526315789473686
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,19,False,67552.68156416502,0.02131578947368422
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,20,False,75860.9725582764,0.015263157894736845
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,21,False,67344.06051660843,0.028421052631578955
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,22,False,76853.2375813416,0.007894736842105263
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,23,False,67552.68156416502,0.008421052631578949
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,24,False,69731.26527375371,0.012631578947368424
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,25,False,66633.43611347987,0.05394736842105264
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,26,False,66633.43611347987,0.009473684210526318
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,27,False,66633.43611347987,0.008947368421052634
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,28,False,66836.85134468594,0.015000000000000003
