Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,123372.88109487359,0.1181578947368421
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,115471.18541440679,0.12605263157894736
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,124999.19918784124,0.09342105263157896
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,119660.4829772026,0.14
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,129910.80249340179,0.09289473684210525
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,128839.40201116735,0.12684210526315792
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,128099.40282960111,0.0863157894736842
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,116822.5342317076,0.15763157894736843
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,120631.37839745698,0.1418421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,117621.15100605311,0.18815789473684214
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,127131.954341248,0.11394736842105263
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,123286.33837943687,0.15526315789473685
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,131298.54797812254,0.14789473684210527
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,126544.9745613438,0.12789473684210528
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,115871.13715709314,0.1118421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,132527.74011095107,0.10947368421052632
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,131410.42188018755,0.12578947368421056
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,134393.60908814459,0.1576315789473684
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,128648.81288744621,0.11500000000000002
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,123487.27678407922,0.11342105263157894
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,119432.30962368833,0.14684210526315788
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,122298.89129947204,0.13710526315789473
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,124522.48077375075,0.09973684210526315
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,124824.4999107943,0.13447368421052633
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,105840.67446121134,0.14026315789473684
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,124362.84069242085,0.1268421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,128504.27008924104,0.12552631578947365
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,122055.93346479876,0.13789473684210524
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,127138.9791182682,0.12631578947368421
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,122980.5600642816,0.1463157894736842
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,121658.80350110847,0.12078947368421052
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,119410.96334396972,0.12526315789473683
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,122965.05380170466,0.13710526315789473
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,115161.42022275977,0.09368421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,127544.45694971002,0.15894736842105261
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,119186.83235222253,0.1394736842105263
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,118534.61312683331,0.13763157894736844
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,121271.5448394849,0.12657894736842107
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,121171.97033799681,0.1331578947368421
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,122801.33558237243,0.09105263157894736
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:200 | elit:True,cruce_pmx,mutacion_intercambio,0.1,200,True,120206.31864552705,0.11184210526315788
