Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126906.77882065205,24,0.09131578947368421
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,125238.65979717113,25,0.09526315789473686
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,134018.43444807627,26,0.07842105263157893
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,127180.9778958268,27,0.1281578947368421
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,125778.56554864826,28,0.10210526315789473
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,108535.49973357176,29,0.08
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,196277.86859152358,0,0.013157894736842106
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,191328.37794402888,1,0.023157894736842106
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,207196.85306068594,2,0.009473684210526315
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,191517.67818030523,3,0.026842105263157893
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,206338.41742108276,4,0.018421052631578946
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,203279.32268636295,5,0.028421052631578948
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,192178.39849625228,6,0.04
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,201668.6801293228,7,0.01263157894736842
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,208960.17129044785,8,0.043421052631578944
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,204875.72815508363,9,0.023157894736842103
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,191501.14459801634,10,0.025526315789473685
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,194237.76077771452,11,0.017894736842105262
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,200280.3969487516,12,0.034473684210526316
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,211101.22946503558,13,0.011578947368421053
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,188670.10425039253,14,0.014736842105263158
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_ciclos,mutacion_intercambio,0.05,100,False,202488.33290794064,15,0.041578947368421056
