Configuracion,Cruza,Mutacion,Penalizacion,Elitismo,Ejecucion_No,Mejor_Fitness,Diversidad_Final,Peso_Final,Valor_Final
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,58,282.0,0.0036166666666666634,50,282
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,59,286.0,0.0029699999999999987,50,286
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,60,319.0,0.004553333333333329,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,61,299.0,0.0046066666666666626,49,299
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,62,312.0,0.002963333333333331,50,312
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,63,319.0,0.0023099999999999983,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,64,299.0,0.002969999999999998,50,299
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,65,310.0,0.0032933333333333304,50,310
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,66,309.0,0.0036233333333333304,50,309
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,67,307.0,0.002633333333333331,50,307
