Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,121772.50653309285,17,0.1168421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,118860.80763923515,18,0.17526315789473684
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,124648.16826523672,19,0.08789473684210526
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,119384.07402704025,20,0.12342105263157893
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,124088.07931953519,21,0.11026315789473685
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,131825.18370330066,22,0.11368421052631579
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,123453.55895322001,23,0.12631578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,119488.92814919387,24,0.13526315789473686
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,125282.2067914736,25,0.12894736842105264
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,121441.35489473645,26,0.09210526315789473
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,121970.07108518238,27,0.0855263157894737
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,125569.77199975199,28,0.09105263157894736
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,129947.03641010384,29,0.1205263157894737
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,127030.80768158133,0,0.1313157894736842
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,128301.22078371544,1,0.0863157894736842
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,126243.62353386606,2,0.04605263157894737
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,121348.675477552,3,0.08789473684210526
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,116954.54070931683,4,0.09421052631578948
cruce_ciclos | mutacion_inversion | mut:0.1 | pob:50 | elit:True,cruce_ciclos,mutacion_inversion,0.1,50,True,121410.56391434996,5,0.10736842105263157
